Bayanda Maseko | operation count = 1
Sphesihle Klaas | operation count = 2366
Emihle Khoza | operation count = 2367
Ofentse Radebe | operation count = 416
Omaatla Malatji | operation count = 1166
Mia Molefe | operation count = 420
Kamogelo Jack | operation count = 2371
Omolemo Nkosi | operation count = 909
Alunamda Davids | operation count = 345
Luke Ngobeni | operation count = 711
Jayden Mnisi | operation count = 1111
Emihle Mthembu | operation count = 1313
Rorisang Tshabalala | operation count = 2377
Omaatla Williams | operation count = 2378
Bokamoso Shabangu | operation count = 461
Amogelang Louw | operation count = 1620
Alunamda Moloi | operation count = 2287
Omaatla Nkosi | operation count = 2382
Naledi Tsotetsi | operation count = 818
Junior Dyantyi | operation count = 834
Sphesihle Mudau | operation count = 1346
Karabo Nkosi | operation count = 2386
Olerato Mofokeng | operation count = 185
Angel Peter | operation count = 14
Kungawo Cloete | operation count = 2389
Warona Madikizela | operation count = 2390
Hlelokuhle Cloete | operation count = 2391
Ava Malatji | operation count = 1186
Siphosethu Louw | operation count = 2393
Rethabile Olyn | operation count = 44
Ofentse Moeng | operation count = 2395
Siphosethu Chauke | operation count = 1273
Amohelang Dlamini | operation count = 101
Okuhle Booysen | operation count = 2398
Lesedi Tshabalala | operation count = 2399
Joshua Ndou | operation count = 1338
Rorisang Petersen | operation count = 927
Lethabo Beukes | operation count = 2402
Leah Dlamini | operation count = 2030
Leano Jack | operation count = 1022
Lethabo Mnisi | operation count = 2405
Luke Shabangu | operation count = 2406
Lethabo Maseko | operation count = 1968
Kungawo Witbooi | operation count = 2408
Ayabonga Sithole | operation count = 446
Oratilwe Smith | operation count = 702
Iminathi Khoza | operation count = 2411
Katleho Mkhize | operation count = 635
Katlego Ndou | operation count = 449
Jayden Ndlovu | operation count = 1116
Leano Motloung | operation count = 1138
Relebohile Ngcobo | operation count = 2416
Minenhle Mahlangu | operation count = 2417
Karabo Ngwenya | operation count = 2418
Iminathi Cloete | operation count = 2419
Thato Modise | operation count = 222
Noah Molefe | operation count = 2421
Ava Maseko | operation count = 900
Ofentse Radebe | operation count = 809
Ava Moloi | operation count = 2424
Mpho Madikizela | operation count = 2048
Lethabo Dyantyi | operation count = 844
Onthatile Peter | operation count = 2427
Lwandle Louw | operation count = 2131
Iminathi Louw | operation count = 46
Karabo Abrahams | operation count = 2430
Lwandle Khumalo | operation count = 709
Katlego Chauke | operation count = 1243
Ofentse Moeng | operation count = 2433
Joshua Mahlangu | operation count = 2434
Tshegofatso Dyantyi | operation count = 2435
Blessing Klaas | operation count = 408
Othalive Jack | operation count = 1266
Thato Peter | operation count = 853
Reatlegile Mosia | operation count = 2439
Othalive Mudau | operation count = 73
Likuwe Khoza | operation count = 2441
Oratilwe Mofokeng | operation count = 618
Siyabonga Mudau | operation count = 2443
Rorisang Ngobeni | operation count = 2444
Lwandle Ngcobo | operation count = 2445
Lesedi Van | operation count = 548
Iminathi Dlamini | operation count = 529
Othalive Buthelezi | operation count = 2448
Bonolo Witbooi | operation count = 1150
Siyabonga Booysen | operation count = 2450
Lwandle Visagie | operation count = 2451
Letlotlo Chauke | operation count = 2452
Jayden Ndou | operation count = 2453
Enzokuhle Malatji | operation count = 969
Jayden Mosia | operation count = 2455
Olerato Madikizela | operation count = 2456
Thato Nhlapo | operation count = 1369
Othalive Mohlala | operation count = 2458
Likuwe Tshabalala | operation count = 1602
Kamogelo Klaas | operation count = 1394
Likuwe Mnisi | operation count = 2461
Emihle Nkosi | operation count = 57
Joshua Cloete | operation count = 540
Kamogelo Adams | operation count = 1321
Faith Buthelezi | operation count = 330
Relebohile Adams | operation count = 2466
Thato Mthembu | operation count = 227
Lethabo Maseko | operation count = 1968
Likuwe Sithole | operation count = 1413
Siphesihle Mathebula | operation count = 108
Katlego Chauke | operation count = 1243
Melokuhle Mogale | operation count = 2472
Siphesihle Radebe | operation count = 952
Luthando Sithole | operation count = 2474
Omphile Mudau | operation count = 1740
Iminathi Modise | operation count = 1940
Oratilwe Abrahams | operation count = 523
Lingomso Maseko | operation count = 2478
Letlotlo Maluleke | operation count = 2479
Ava Radebe | operation count = 1483
Aphelele Moloi | operation count = 504
Reneilwe Ndlovu | operation count = 2482
Iminathi Daniels | operation count = 1258
Warona Moloi | operation count = 1514
Angel Madikizela | operation count = 1198
Hlelokuhle Jacobs | operation count = 2486
Reatlegile Chauke | operation count = 2487
Amogelang Visagie | operation count = 1370
Mia Petersen | operation count = 2489
Oratilwe Olyn | operation count = 2490
Lisakhanya Mohlala | operation count = 111
Ava Nkosi | operation count = 2492
Likuwe Nkuna | operation count = 2493
Lesedi Beukes | operation count = 1557
Kamogelo Ndlovu | operation count = 780
Leano Chauke | operation count = 28
Noah Malatji | operation count = 2497
Enzokuhle Mofokeng | operation count = 679
Luthando Chauke | operation count = 2499
Omphile Khoza | operation count = 1630
Aphelele Daniels | operation count = 2501
Lesedi Hendricks | operation count = 2502
Lethabo Ngcobo | operation count = 858
Relebohile Shabangu | operation count = 2504
Lubanzi Mogale | operation count = 2158
Kungawo Ndou | operation count = 1102
Remofilwe Modise | operation count = 2507
Mia Radebe | operation count = 237
Bonolo Klaas | operation count = 2509
Bokamoso Ndou | operation count = 279
Olothando Tsotetsi | operation count = 2511
Onthatile Peter | operation count = 2512
Iminathi Cloete | operation count = 2419
Ayabonga Buthelezi | operation count = 1946
Bokamoso Cloete | operation count = 2515
Kungawo Maluleke | operation count = 668
Olerato Smith | operation count = 687
Kamohelo Ndou | operation count = 2518
Enzokuhle Ngcobo | operation count = 395
Reneilwe Mahlangu | operation count = 2520
Othalive Ndlovu | operation count = 2521
Caleb Mahlangu | operation count = 2522
Kungawo Mudau | operation count = 2523
Kamogelo Adams | operation count = 2524
Siyabonga Mthembu | operation count = 2525
Lingomso Nkosi | operation count = 2285
Joshua Cloete | operation count = 540
Nkosenhle Beukes | operation count = 2528
Amogelang Nkuna | operation count = 1714
Kamogelo Ngobeni | operation count = 2530
Okuhle Tshabalala | operation count = 2531
Nkosenhle Beukes | operation count = 2528
Rorisang Baloyi | operation count = 2533
Khayone Sithole | operation count = 2534
Enzokuhle Ngcobo | operation count = 395
Enzokuhle Ngobeni | operation count = 2536
Lethabo Mathebula | operation count = 2537
Onthatile Hendricks | operation count = 255
Naledi Witbooi | operation count = 1185
Melokuhle Davids | operation count = 2540
Phenyo Mkhize | operation count = 1074
Leah Chauke | operation count = 880
Amohelang Ngcobo | operation count = 2543
Lethabo Maseko | operation count = 1968
Katleho Motaung | operation count = 2545
Oratilwe Petersen | operation count = 2546
Leah Mohlala | operation count = 2547
Alunamda Mokoena | operation count = 2548
Relebohile Baloyi | operation count = 144
Caleb Baloyi | operation count = 2550
Ofentse Hendricks | operation count = 35
Rorisang Williams | operation count = 2552
Emihle Nhlapo | operation count = 2553
Amogelang Buthelezi | operation count = 2554
Kungawo Mkhize | operation count = 2555
Amohelang Buthelezi | operation count = 2556
Karabo Tshabalala | operation count = 1662
Alunamda Ngcobo | operation count = 297
Blessing Mnisi | operation count = 1335
Olerato Mnisi | operation count = 2560
Warona Tshabalala | operation count = 2561
Banele Mofokeng | operation count = 90
Omaatla Khoza | operation count = 1023
Ayabonga Jack | operation count = 2564
Banele Ngwenya | operation count = 2565
Oratilwe Abrahams | operation count = 2566
Siphesihle Nhlapo | operation count = 138
Olothando Mokoena | operation count = 1165
Kamohelo Olyn | operation count = 2569
Bokang Davids | operation count = 2570
Omolemo Olyn | operation count = 244
Onthatile Klaas | operation count = 1655
Likuwe Petersen | operation count = 2573
Bokamoso Shabangu | operation count = 461
Siphesihle Khumalo | operation count = 2575
Faith Buthelezi | operation count = 496
Lethokuhle Daniels | operation count = 2577
Reneilwe Ngobeni | operation count = 2578
Omaatla Mnisi | operation count = 2170
Kamohelo Mohlala | operation count = 1191
Alwande Mnisi | operation count = 796
Kamohelo Klaas | operation count = 109
Bokamoso Ndlovu | operation count = 2583
Melokuhle Moeng | operation count = 2584
Letlotlo Jack | operation count = 792
Amogelang Daniels | operation count = 2586
Warona Nkuna | operation count = 2587
Lebogang Smith | operation count = 2588
Oratilwe Maluleke | operation count = 2589
Katlego Buthelezi | operation count = 2328
Tshegofatso Maluleke | operation count = 765
Oratilwe Louw | operation count = 2592
Leano Petersen | operation count = 1221
Karabo Modise | operation count = 605
Lebogang Peter | operation count = 2595
Enzokuhle Khoza | operation count = 2596
Enzokuhle Buthelezi | operation count = 1047
Elijah Tshabalala | operation count = 1460
Lethokuhle Daniels | operation count = 2577
Katlego Abrahams | operation count = 2600
Katlego Buthelezi | operation count = 283
Tshegofatso Nhlapo | operation count = 734
Amohelang Maluleke | operation count = 2603
Lisakhanya Mnisi | operation count = 1330
Angel Radebe | operation count = 2605
Luthando Peter | operation count = 2606
Olerato Gumede | operation count = 2115
Naledi Radebe | operation count = 257
Katleho Mkhize | operation count = 635
Rorisang Klaas | operation count = 2610
Karabo Shabangu | operation count = 876
Tshegofatso Baloyi | operation count = 97
Thato Nkuna | operation count = 1324
Reatlegile Witbooi | operation count = 1956
Melokuhle Moeng | operation count = 2584
Letlotlo Ngobeni | operation count = 755
Lethabo Davids | operation count = 2617
Oratilwe Motloung | operation count = 2618
Isabella Olyn | operation count = 2619
Luke Nhlapo | operation count = 672
Bokamoso Ngwenya | operation count = 2621
Nkosenhle Beukes | operation count = 2528
Hlelokuhle Modise | operation count = 2623
Alwande Mathebula | operation count = 2624
Ava Van | operation count = 211
Minenhle Molefe | operation count = 1109
Tshegofatso Baloyi | operation count = 97
Alunamda Jack | operation count = 114
Katleho Ngcobo | operation count = 2629
Isabella Malatji | operation count = 2630
Omphile Baloyi | operation count = 2631
Alunamda Moloi | operation count = 2632
Kamogelo Ndlovu | operation count = 780
Bonolo Davids | operation count = 2634
Reatlegile Molefe | operation count = 812
Likuwe Ngcobo | operation count = 2636
Lethokuhle Tsotetsi | operation count = 2637
Bonolo Booi | operation count = 2638
Emihle Khoza | operation count = 2367
Omphile Beukes | operation count = 369
Relebohile Radebe | operation count = 2641
Ayabonga Ngobeni | operation count = 2642
Emihle Tsotetsi | operation count = 2643
Kamohelo Malatji | operation count = 2644
Kamohelo Louw | operation count = 2645
Mpho Beukes | operation count = 2646
Olothando Mkhize | operation count = 2647
Lethokuhle Mthembu | operation count = 713
Elijah Nhlapo | operation count = 2649
Junior Nkosi | operation count = 1935
Joshua Mofokeng | operation count = 2651
Kamohelo Malatji | operation count = 2652
Lingomso Jacobs | operation count = 974
Hlelokuhle Abrahams | operation count = 2654
Bokang Mohlala | operation count = 2655
Junior Abrahams | operation count = 637
Mia Ndlovu | operation count = 2657
Relebohile Daniels | operation count = 1786
Karabo Ndlovu | operation count = 2659
Melokuhle Klaas | operation count = 2660
Rorisang Nhlapo | operation count = 546
Iminathi Mogale | operation count = 231
Sphesihle Jacobs | operation count = 2663
Onthatile Mthembu | operation count = 2664
Siphosethu Buthelezi | operation count = 1738
Lingomso Maluleke | operation count = 246
Lethabo Mahlangu | operation count = 1569
Letlotlo Booi | operation count = 1378
Melokuhle Mogale | operation count = 2472
Onthatile Sithole | operation count = 2670
Lingomso Louw | operation count = 752
Reneilwe Williams | operation count = 2672
Junior Mnisi | operation count = 2673
Emihle Khumalo | operation count = 410
Othalive Gumede | operation count = 312
Angel Moeng | operation count = 2676
Karabo Moeng | operation count = 1691
Ofentse Chauke | operation count = 2678
Luthando Ngwenya | operation count = 2679
Katlego Chauke | operation count = 2193
Amohelang Beukes | operation count = 2681
Thandolwethu Hendricks | operation count = 30
Thato Khumalo | operation count = 2683
Lesedi Cloete | operation count = 375
Melokuhle Mohlala | operation count = 2269
Rorisang Visagie | operation count = 545
Thandolwethu Mosia | operation count = 1092
Relebohile Mathebula | operation count = 2688
Katlego Mosia | operation count = 2689
Hlelokuhle Nhlapo | operation count = 63
Onthatile Klaas | operation count = 1655
Ofentse Madikizela | operation count = 118
Ofentse Ndlovu | operation count = 1715
Liam Booi | operation count = 2694
Letlotlo Daniels | operation count = 586
Lethabo Buthelezi | operation count = 2111
Siphesihle Ngcobo | operation count = 2697
Reatlegile Shabangu | operation count = 1334
Amogelang Nhlapo | operation count = 1888
Kamohelo Ndou | operation count = 133
Kamogelo Ngwenya | operation count = 2701
Bandile Nkosi | operation count = 613
Bokang Molefe | operation count = 2175
Karabo Maseko | operation count = 847
Noah Mthembu | operation count = 430
Likuwe Klaas | operation count = 1803
Omaatla Malatji | operation count = 1166
Caleb Tshabalala | operation count = 1753
Junior Witbooi | operation count = 157
Rethabile Motloung | operation count = 100
Jayden Malatji | operation count = 2711
Thato Sithole | operation count = 39
Othalive Gumede | operation count = 312
Rorisang Maseko | operation count = 2225
Nkosenhle Van | operation count = 2715
Alwande Cloete | operation count = 2716
Lesedi Booi | operation count = 2717
Joshua Booi | operation count = 2718
Siphesihle Radebe | operation count = 952
Siphosethu Modise | operation count = 441
Amogelang Adams | operation count = 2721
Reneilwe Booysen | operation count = 2722
Amohelang Molefe | operation count = 2723
Omolemo Williams | operation count = 438
Bokamoso Ndou | operation count = 279
Omaatla Dlamini | operation count = 2726
Ayabonga Adams | operation count = 591
Siyabonga Motloung | operation count = 852
Liam Mogale | operation count = 1297
Bandile Olyn | operation count = 879
Tshegofatso Daniels | operation count = 863
Aphelele Ndlovu | operation count = 1730
Rethabile Moloi | operation count = 273
Rorisang Visagie | operation count = 545
Kungawo Shabangu | operation count = 1296
Blessing Buthelezi | operation count = 801
Likuwe Ndlovu | operation count = 2737
Likuwe Beukes | operation count = 2738
Banele Maseko | operation count = 1494
Tshegofatso Baloyi | operation count = 2740
Bokamoso Modise | operation count = 2741
Lingomso Nkosi | operation count = 1624
Remofilwe Hendricks | operation count = 2251
Bokamoso Cloete | operation count = 1133
Lesedi Nkuna | operation count = 802
Likuwe Williams | operation count = 1364
Bokamoso Davids | operation count = 2747
Nkosenhle Radebe | operation count = 1693
Karabo Abrahams | operation count = 984
Ofentse Mogale | operation count = 392
Lethokuhle Daniels | operation count = 2751
Relebohile Ndlovu | operation count = 60
Othalive Tsotetsi | operation count = 775
Lethokuhle Mudau | operation count = 2754
Lethabo Mosia | operation count = 2755
Lethabo Tsotetsi | operation count = 2756
Leah Madikizela | operation count = 2757
Kamogelo Tsotetsi | operation count = 2758
Lisakhanya Jacobs | operation count = 1421
Kungawo Dlamini | operation count = 933
Noah Baloyi | operation count = 2761
Mpho Radebe | operation count = 2264
Alwande Mnisi | operation count = 796
Esihle Beukes | operation count = 2764
Olerato Nhlapo | operation count = 623
Lethabo Ndlovu | operation count = 2766
Luphawu Jack | operation count = 1061
Luthando Mogale | operation count = 923
Siphosethu Maluleke | operation count = 47
Bayanda Mathebula | operation count = 2770
Omphile Mnisi | operation count = 535
Tshegofatso Mudau | operation count = 2183
Lisakhanya Malatji | operation count = 1576
Katlego Maseko | operation count = 2207
Hlelokuhle Gumede | operation count = 1806
Lubanzi Davids | operation count = 578
Enzokuhle Ngcobo | operation count = 445
Bonolo Van | operation count = 2778
Asemahle Abrahams | operation count = 1041
Lesedi Booysen | operation count = 2780
Emihle Mthembu | operation count = 1313
Ofentse Booi | operation count = 2782
Enzokuhle Motloung | operation count = 2783
Leano Smith | operation count = 2784
Rorisang Sithole | operation count = 495
Omaatla Williams | operation count = 1161
Bokamoso Radebe | operation count = 2787
Katlego Dyantyi | operation count = 1055
Angel Nhlapo | operation count = 1220
Lesedi Khumalo | operation count = 2790
Omaatla Ngcobo | operation count = 817
Amahle Maseko | operation count = 1538
Hlelokuhle Dlamini | operation count = 2793
Naledi Radebe | operation count = 257
Angel Klaas | operation count = 2795
Karabo Beukes | operation count = 2796
Omaatla Adams | operation count = 1032
Isabella Mohlala | operation count = 2009
Enzokuhle Radebe | operation count = 1356
Kamogelo Klaas | operation count = 51
Iminathi Cloete | operation count = 2419
Amohelang Mosia | operation count = 2802
Aphelele Mohlala | operation count = 691
Amohelang Nkosi | operation count = 2804
Liam Mogale | operation count = 1297
Nkosenhle Booi | operation count = 2806
Ayabonga Booi | operation count = 2807
Lubanzi Ndlovu | operation count = 2808
Omphile Baloyi | operation count = 2631
Melokuhle Hendricks | operation count = 2810
Lubanzi Moeng | operation count = 2811
Jayden Gumede | operation count = 2812
Rethabile Booi | operation count = 2813
Letlotlo Witbooi | operation count = 705
Mpho Moloi | operation count = 1030
Remofilwe Peter | operation count = 1606
Likuwe Maseko | operation count = 2817
Karabo Olyn | operation count = 1371
Liam Radebe | operation count = 2819
Ofentse Van | operation count = 2820
Othalive Cloete | operation count = 293
Banele Tshabalala | operation count = 988
Katlego Adams | operation count = 2823
Warona Smith | operation count = 2824
Alunamda Mohlala | operation count = 2825
Tshegofatso Baloyi | operation count = 97
Amahle Mathebula | operation count = 475
Amohelang Davids | operation count = 1208
Philasande Motloung | operation count = 2829
Katlego Baloyi | operation count = 872
Phenyo Davids | operation count = 2831
Ofentse Cloete | operation count = 429
Junior Khoza | operation count = 1310
Warona Tshabalala | operation count = 2561
Faith Booi | operation count = 82
Hlelokuhle Klaas | operation count = 2836
Omolemo Jacobs | operation count = 2837
Lesedi Nkuna | operation count = 1081
Lesedi Cloete | operation count = 375
Leah Booysen | operation count = 2840
Kungawo Motloung | operation count = 158
Lisakhanya Mnisi | operation count = 1330
Tshegofatso Maluleke | operation count = 765
Lesedi Adams | operation count = 58
Phenyo Beukes | operation count = 577
Amahle Davids | operation count = 2846
Enzokuhle Peter | operation count = 365
Liam Malatji | operation count = 2848
Bayanda Beukes | operation count = 2849
Lethokuhle Mthembu | operation count = 713
Ava Van | operation count = 2851
Kamogelo Beukes | operation count = 2852
Bokamoso Moeng | operation count = 199
Katlego Mokoena | operation count = 2854
Jayden Mosia | operation count = 2455
Liam Maluleke | operation count = 1823
Amohelang Beukes | operation count = 2857
Alwande Ndou | operation count = 2858
Lethabo Smith | operation count = 2859
Angel Mokoena | operation count = 130
Kamohelo Mthembu | operation count = 1107
Bandile Maseko | operation count = 2862
Lwandle Tshabalala | operation count = 386
Okuhle Mahlangu | operation count = 2864
Hlelokuhle Shabangu | operation count = 1640
Omaatla Van | operation count = 2866
Isabella Louw | operation count = 2305
Jayden Witbooi | operation count = 855
Lebogang Mathebula | operation count = 2289
Reneilwe Moloi | operation count = 2870
Alunamda Mahlangu | operation count = 1454
Siyabonga Mnisi | operation count = 2872
Bokang Khumalo | operation count = 248
Relebohile Mahlangu | operation count = 2874
Luthando Williams | operation count = 2875
Leano Mahlangu | operation count = 2876
Siyabonga Mthembu | operation count = 2525
Melokuhle Dlamini | operation count = 384
Emihle Petersen | operation count = 2879
Lwandle Peter | operation count = 182
Naledi Klaas | operation count = 638
Katlego Khoza | operation count = 1634
Amohelang Buthelezi | operation count = 2556
Philasande Khoza | operation count = 2884
Lisakhanya Witbooi | operation count = 1071
Lisakhanya Mahlangu | operation count = 2886
Letlotlo Jack | operation count = 792
Mia Mnisi | operation count = 1349
Oratile Mofokeng | operation count = 1809
Lingomso Ngwenya | operation count = 2890
Leano Khoza | operation count = 421
Amohelang Buthelezi | operation count = 2556
Amogelang Mnisi | operation count = 2893
Siphosethu Peter | operation count = 2894
Reatlegile Klaas | operation count = 2895
Lebogang Radebe | operation count = 2896
Karabo Witbooi | operation count = 979
Lubanzi Modise | operation count = 2898
Faith Nkosi | operation count = 2899
Reneilwe Molefe | operation count = 2900
Letlotlo Tsotetsi | operation count = 1160
Jayden Madikizela | operation count = 1396
Enzokuhle Ngcobo | operation count = 395
Lesedi Mohlala | operation count = 1171
Amogelang Daniels | operation count = 2905
Lesedi Sithole | operation count = 467
Karabo Beukes | operation count = 2796
Luthando Mogale | operation count = 2908
Alunamda Jack | operation count = 114
Mpho Mahlangu | operation count = 468
Angel Khumalo | operation count = 1532
Thato Mathebula | operation count = 2912
Othalive Motaung | operation count = 2913
Oratilwe Visagie | operation count = 225
Katlego Nkosi | operation count = 389
Leano Chauke | operation count = 28
Phenyo Olyn | operation count = 2917
Phenyo Booysen | operation count = 671
Amohelang Mahlangu | operation count = 2919
Emihle Petersen | operation count = 2879
Bonolo Booi | operation count = 2921
Oratilwe Smith | operation count = 702
Ayabonga Booi | operation count = 2807
Emihle Jacobs | operation count = 462
Alwande Hendricks | operation count = 2925
Thato Ngobeni | operation count = 2926
Lwandle Mokoena | operation count = 2927
Kamogelo Baloyi | operation count = 2928
Amogelang Williams | operation count = 681
Minenhle Abrahams | operation count = 2930
Onthatile Hendricks | operation count = 255
Onthatile Adams | operation count = 2932
Remofilwe Jack | operation count = 302
Alwande Ndou | operation count = 2858
Amogelang Ngwenya | operation count = 184
Remofilwe Khoza | operation count = 1384
Siphesihle Khumalo | operation count = 2575
Omphile Van | operation count = 2938
Okuhle Mahlangu | operation count = 2864
Leah Mathebula | operation count = 317
Sphesihle Klaas | operation count = 1252
Angel Madikizela | operation count = 1198
Kamogelo Maseko | operation count = 1502
Hlelokuhle Ngcobo | operation count = 2944
Letlotlo Tsotetsi | operation count = 1046
Lubanzi Jack | operation count = 2946
Ayabonga Sithole | operation count = 446
Othalive Radebe | operation count = 268
Blessing Nhlapo | operation count = 472
Asemahle Smith | operation count = 1075
Likuwe Ndlovu | operation count = 2737
Oratilwe Shabangu | operation count = 2952
Reatlegile Peter | operation count = 2953
Karabo Booysen | operation count = 2954
Leano Peter | operation count = 2955
Okuhle Mthembu | operation count = 99
Lingomso Booysen | operation count = 941
Luke Gumede | operation count = 521
Banele Khumalo | operation count = 950
Sphesihle Molefe | operation count = 2960
Lethabo Smith | operation count = 2859
Amogelang Baloyi | operation count = 162
Luphawu Visagie | operation count = 2963
Mpho Mahlangu | operation count = 991
Amogelang Nkosi | operation count = 116
Lethokuhle Ngcobo | operation count = 2966
Katlego Maseko | operation count = 966
Khayone Motloung | operation count = 2360
Naledi Baloyi | operation count = 1628
Leah Khumalo | operation count = 321
Alunamda Ndlovu | operation count = 2971
Alwande Motaung | operation count = 2972
Tshegofatso Ndou | operation count = 2973
Bokamoso Moloi | operation count = 19
Onthatile Sithole | operation count = 2975
Katleho Mathebula | operation count = 789
Minenhle Tshabalala | operation count = 787
Naledi Mosia | operation count = 2234
Liam Jack | operation count = 125
Nkosenhle Smith | operation count = 1470
Banele Motaung | operation count = 303
Nkosenhle Ngwenya | operation count = 2982
Melokuhle Khoza | operation count = 1916
Ofentse Cloete | operation count = 485
Naledi Witbooi | operation count = 2985
Omphile Witbooi | operation count = 1392
Lubanzi Modise | operation count = 2987
Blessing Mnisi | operation count = 1335
Jayden Tshabalala | operation count = 1219
Nkosenhle Radebe | operation count = 1693
Rethabile Booysen | operation count = 2991
Faith Buthelezi | operation count = 496
Othalive Mnisi | operation count = 1683
Melokuhle Motloung | operation count = 1263
Hlelokuhle Sithole | operation count = 1894
Siphosethu Visagie | operation count = 2996
Likuwe Ndlovu | operation count = 2737
Ofentse Nkosi | operation count = 1103
Kamohelo Malatji | operation count = 2652
Bayanda Madikizela | operation count = 845
